,super_bowl,musician,num_songs,,,,,,,,,,,,,,,
0,52,Justin Timberlake,11.0,,,,,,,,,,,,,,,
1,52,University of Minnesota Marching Band,1.0,,,,,,,,,,,,,,,
2,51,Lady Gaga,7.0,,,,,,,,,,,,,,,
3,50,Coldplay,6.0,,,,,,,,,,,,,,,
4,50,Beyoncé,3.0,,,,,,,,,,,,,,,
5,50,Bruno Mars,3.0,,,,,,,,,,,,,,,
6,50,Mark Ronson,1.0,,,,,,,,,,,,,,,
7,50,University of California Marching Band,3.0,,,,,,,,,,,,,,,
8,50,Youth Orchestra Los Angeles,3.0,,,,,,,,,,,,,,,
9,50,Gustavo Dudamel,3.0,,,,,,,,,,,,,,,
10,49,Katy Perry,8.0,,,,,,,,,,,,,,,
11,49,Lenny Kravitz,1.0,,,,,,,,,,,,,,,
12,49,Missy Elliott,3.0,,,,,,,,,,,,,,,
13,49,Arizona State University Sun Devil Marching Band,NaN,,,,,,,,,,,,,,,
14,48,Bruno Mars,6.0,,,,,,,,,,,,,,,
15,48,Red Hot Chili Peppers,1.0,,,,,,,,,,,,,,,
16,47,Beyoncé,7.0,,,,,,,,,,,,,,,
17,47,Destiny's Child,2.0,,,,,,,,,,,,,,,
18,47,Kelly Rowland,1.0,,,,,,,,,,,,,,,
19,47,Michelle Williams,1.0,,,,,,,,,,,,,,,
20,46,Madonna,5.0,,,,,,,,,,,,,,,
21,46,LMFAO,1.0,,,,,,,,,,,,,,,
22,46,Nicki Minaj,1.0,,,,,,,,,,,,,,,
23,46,M.I.A.,1.0,,,,,,,,,,,,,,,
24,46,Cee Lo Green,2.0,,,,,,,,,,,,,,,
25,45,The Black Eyed Peas,6.0,,,,,,,,,,,,,,,
26,45,Slash,1.0,,,,,,,,,,,,,,,
27,45,Usher,1.0,,,,,,,,,,,,,,,
28,45,will.i.am,1.0,,,,,,,,,,,,,,,
29,45,Fergie,1.0,,,,,,,,,,,,,,,
...,...,...,...,,,,,,,,,,,,,,,
104,14,Up with People,NaN,,,,,,,,,,,,,,,
105,14,Grambling State University Tiger Marching Band,NaN,,,,,,,,,,,,,,,
106,13,Ken Hamilton,NaN,,,,,,,,,,,,,,,
107,13,Gramacks,NaN,,,,,,,,,,,,,,,
108,12,Tyler Junior College Apache Band,NaN,,,,,,,,,,,,,,,
109,12,Pete Fountain,NaN,,,,,,,,,,,,,,,
110,12,Al Hirt,NaN,,,,,,,,,,,,,,,
111,11,Los Angeles Unified School District All City H...,NaN,,,,,,,,,,,,,,,
112,10,Up with People,NaN,,,,,,,,,,,,,,,
113,9,Mercer Ellington,NaN,,,,,,,,,,,,,,,
114,9,Grambling State University Tiger Marching Band,NaN,,,,,,,,,,,,,,,
115,8,University of Texas Longhorn Band,NaN,,,,,,,,,,,,,,,
116,8,Judy Mallett,NaN,,,,,,,,,,,,,,,
117,7,University of Michigan Marching Band,NaN,,,,,,,,,,,,,,,
118,7,Woody Herman,NaN,,,,,,,,,,,,,,,
119,7,Andy Williams,NaN,,,,,,,,,,,,,,,
120,6,Ella Fitzgerald,NaN,,,,,,,,,,,,,,,
121,6,Carol Channing,NaN,,,,,,,,,,,,,,,
122,6,Al Hirt,NaN,,,,,,,,,,,,,,,
123,6,United States Air Force Academy Cadet Chorale,NaN,,,,,,,,,,,,,,,
124,5,Southeast Missouri State Marching Band,NaN,,,,,,,,,,,,,,,
125,4,Marguerite Piazza,NaN,,,,,,,,,,,,,,,
126,4,Doc Severinsen,NaN,,,,,,,,,,,,,,,
127,4,Al Hirt,NaN,,,,,,,,,,,,,,,
128,4,The Human Jukebox,NaN,,,,,,,,,,,,,,,
129,3,Florida A&M University Marching 100 Band,NaN,,,,,,,,,,,,,,,
130,2,Grambling State University Tiger Marching Band,NaN,,,,,,,,,,,,,,,
131,1,University of Arizona Symphonic Marching Band,NaN,,,,,,,,,,,,,,,
132,1,Grambling State University Tiger Marching Band,NaN,,,,,,,,,,,,,,,
133,1,Al Hirt,NaN,,,,,,,,,,,,,,,